"Modulo 1, Leccion 1",
Pedagogical Page Open Time,15:05:31
Pedagogical Page Close Time,15:05:31
Parte 3,15:05:31
Draganddrop Page Open Time,15:05:31
Correct Drop Event: Water,15:05:36
Correct Drop Event: +,15:05:36
Correct Drop Event: Park,15:05:36
Draganddrop Page Close Time,15:05:37
Pedagogical Page Open Time,15:05:37
Pedagogical Page Close Time,15:05:37
Parte 4,15:05:37
Multiplechoice Page Open Time,15:05:37
Multiplechoice Page Close Time,15:05:42
Draganddrop Page Open Time,15:05:42
Checkbox Selected: '100',15:05:42
Checkbox Selected: 'Manzana',15:05:42
Draganddrop Page Close Time,15:05:49
Parte 5,15:05:49
Pedagogical Page Open Time,15:05:49
Correct Answer Selected: 100,15:05:49
Correct Answer Selected: 100.00,15:05:49
Correct Answer Selected: 'cien',15:05:49
Pedagogical Page Close Time,15:05:50
Pedagogical2 Page Open Time,15:05:50
Pedagogical2 Page Close Time,15:05:51
Parte 6,15:05:51
Pedagogical Page Open Time,15:05:51
Pedagogical Page Close Time,15:05:51

"Modulo 1, Leccion 4",
Parte 1,15:05:59
Pedagogical Page Open Time,15:05:59
Pedagogical Page Close Time,15:06:01
Draganddrop Page Open Time,15:06:01
Draganddrop Page Close Time,15:06:07
Parte 2,15:06:07
Pedagogical Page Open Time,15:06:07
Correct Answer Selected: Entero,15:06:07
Correct Answer Selected: Flotante,15:06:07
Correct Answer Selected: Cadena,15:06:07
Pedagogical Page Close Time,15:06:08
Draganddrop Page Open Time,15:06:08
Draganddrop Page Close Time,15:06:13
Parte 3,15:06:13
Pedagogical Page Open Time,15:06:13
Correct Drop Event: print('Nosotros somos los campeones amigos'),15:06:13
Correct Drop Event: print('Y seguiremos luchando hasta el final'),15:06:13
Correct Drop Event: print('Somos los campeones'),15:06:13
Pedagogical Page Close Time,15:06:14
Completeblankspace Page Open Time,15:06:14
Completeblankspace Page Close Time,15:06:17
Parte 4,15:06:17
Pedagogical Page Open Time,15:06:17
Correct Answer Selected: print,15:06:17
Pedagogical Page Close Time,15:06:18
Draganddrop Page Open Time,15:06:18
Draganddrop Page Close Time,15:06:22
Parte 5,15:06:22
Pedagogical Page Open Time,15:06:22
Correct Answer Selected: sep,15:06:22
Correct Answer Selected: '-',15:06:22
Pedagogical Page Close Time,15:06:23
Draganddrop Page Open Time,15:06:23
Draganddrop Page Close Time,15:06:27
Parte 6,15:06:27
Pedagogical Page Open Time,15:06:27
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",15:06:27
Pedagogical Page Close Time,15:06:28
Pedagogical2 Page Open Time,15:06:28
Pedagogical2 Page Close Time,15:06:29
Parte 7,15:06:29
Pedagogical Page Open Time,15:06:29
Pedagogical Page Close Time,15:06:29
Pedagogical2 Page Open Time,15:06:29
Pedagogical2 Page Close Time,15:06:30

"Modulo 1, Leccion 5",
Parte 1,15:06:36
Pedagogical2 Page Open Time,15:06:36
Pedagogical2 Page Close Time,15:06:38
Parte 2,15:06:38
Pedagogical Page Open Time,15:06:38
Pedagogical Page Close Time,15:06:39
Pedagogical2 Page Open Time,15:06:39
Pedagogical2 Page Close Time,15:06:39
Parte 3,15:06:39
Multiplechoice Page Open Time,15:06:39
Checkbox Selected: valor.,15:06:42
Multiplechoice Page Close Time,15:06:43
Draganddrop Page Open Time,15:06:43
Draganddrop Page Close Time,15:06:46
Parte 4,15:06:46
Pedagogical Page Open Time,15:06:46
Correct Drop Event: edad,15:06:46
Correct Drop Event: 18,15:06:46
Pedagogical Page Close Time,15:06:47
Completeblankspace Page Open Time,15:06:47
Completeblankspace Page Close Time,15:06:50
Parte 5,15:06:50
Pedagogical Page Open Time,15:06:50
Correct Answer Selected: 2028,15:06:50
Pedagogical Page Close Time,15:06:51
Multiplechoice Page Open Time,15:06:51
Checkbox Selected: 24,15:06:54
Multiplechoice Page Close Time,15:06:55
Parte 6,15:06:55
Multiplechoice Page Open Time,15:06:55
Checkbox Selected: 12,15:06:57
Multiplechoice Page Close Time,15:06:58
Pedagogical Page Open Time,15:06:58
Pedagogical Page Close Time,15:06:58
Parte 7,15:06:58
Multiplechoice Page Open Time,15:06:58
Multiplechoice Page Close Time,15:07:01
Pedagogical Page Open Time,15:07:01
Checkbox Selected: un_nombre_variable,15:07:01
Pedagogical Page Close Time,15:07:02
Parte 8,15:07:02
Multiplechoice Page Open Time,15:07:02
Multiplechoice Page Close Time,15:07:05
Pedagogical Page Open Time,15:07:05
Checkbox Selected: Balance: € 200,15:07:05
Pedagogical Page Close Time,15:07:06
Parte 9,15:07:06
Pedagogical Page Open Time,15:07:06
Pedagogical Page Close Time,15:07:11
Pedagogical2 Page Open Time,15:07:11
Pedagogical2 Page Close Time,15:07:12

"Modulo 2, Leccion 1",
Parte 1,15:07:20
Pedagogical Page Open Time,15:07:20
Pedagogical Page Close Time,15:07:22
Pedagogical2 Page Open Time,15:07:22
Pedagogical2 Page Close Time,15:07:23
Parte 2,15:07:23
Draganddrop Page Open Time,15:07:23
Correct Answer Selected: '42',15:07:45
Correct Answer Selected: text,15:07:45
Draganddrop Page Close Time,15:07:46
Pedagogical Page Open Time,15:07:46
Pedagogical Page Close Time,15:07:46
Parte 3,15:07:46
Multiplechoice Page Open Time,15:07:46
Checkbox Selected: una cadena,15:07:50
Multiplechoice Page Close Time,15:07:51
Pedagogical Page Open Time,15:07:51
Pedagogical Page Close Time,15:07:51
Parte 4,15:07:51
Multiplechoice Page Open Time,15:07:51
Multiplechoice Page Close Time,15:07:54
Pedagogical Page Open Time,15:07:54
Checkbox Selected: input(),15:07:54
Pedagogical Page Close Time,15:07:55
Parte 5,15:07:55
Pedagogical Page Open Time,15:07:55
Pedagogical Page Close Time,15:07:56
Pedagogical2 Page Open Time,15:07:56
Pedagogical2 Page Close Time,15:07:57

