"Modulo 1, Leccion 1",
Correct Drop Event: print('Nosotros somos los campeones amigos'),10:42:31
Correct Drop Event: print('Y seguiremos luchando hasta el final'),10:42:31
Correct Drop Event: print('Somos los campeones'),10:42:31
Draganddrop Page Close Time,10:42:32
Parte 3,10:42:32
Pedagogical Page Open Time,10:42:32
Pedagogical Page Close Time,10:42:32
Completeblankspace Page Open Time,10:42:32
Correct Answer Selected: print,10:42:40
Completeblankspace Page Close Time,10:42:41
Parte 4,10:42:41
Pedagogical Page Open Time,10:42:41
Pedagogical Page Close Time,10:42:41
Draganddrop Page Open Time,10:42:41
Draganddrop Page Close Time,10:42:46
Parte 5,10:42:46
Pedagogical Page Open Time,10:42:46
Pedagogical Page Close Time,10:42:46
Draganddrop Page Open Time,10:42:46
Correct Answer Selected: sep,10:42:46
Correct Answer Selected: '-',10:42:46
Draganddrop Page Close Time,10:42:51
Parte 6,10:42:51
Pedagogical Page Open Time,10:42:51
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",10:42:51
Pedagogical Page Close Time,10:42:52
Pedagogical2 Page Open Time,10:42:52
Pedagogical2 Page Close Time,10:42:53
Parte 7,10:42:53
Pedagogical Page Open Time,10:42:53
Pedagogical Page Close Time,10:42:53
Pedagogical2 Page Open Time,10:42:53
Pedagogical2 Page Close Time,10:42:54

"Modulo 1, Leccion 5",
Parte 1,10:42:57
Pedagogical2 Page Open Time,10:42:57
Pedagogical2 Page Close Time,10:42:58
Parte 2,10:42:58
Pedagogical Page Open Time,10:42:58
Pedagogical Page Close Time,10:42:59
Pedagogical2 Page Open Time,10:42:59
Pedagogical2 Page Close Time,10:43:00
Parte 3,10:43:00
Multiplechoice Page Open Time,10:43:00
Multiplechoice Page Close Time,10:43:03
Draganddrop Page Open Time,10:43:03
Checkbox Selected: valor.,10:43:03
Draganddrop Page Close Time,10:43:07
Parte 4,10:43:07
Pedagogical Page Open Time,10:43:07
Pedagogical Page Close Time,10:43:07
Completeblankspace Page Open Time,10:43:07
Correct Drop Event: edad,10:43:07
Correct Drop Event: 18,10:43:07
Correct Answer Selected: 2028,10:43:10
Completeblankspace Page Close Time,10:43:11
Parte 5,10:43:11
Pedagogical Page Open Time,10:43:11
Pedagogical Page Close Time,10:43:12
Multiplechoice Page Open Time,10:43:12
Multiplechoice Page Close Time,10:43:17
Parte 6,10:43:17
Multiplechoice Page Open Time,10:43:17
Checkbox Selected: 24,10:43:17
Checkbox Selected: 12,10:43:20
Multiplechoice Page Close Time,10:43:21
Pedagogical Page Open Time,10:43:21
Pedagogical Page Close Time,10:43:22
Parte 7,10:43:22
Multiplechoice Page Open Time,10:43:22
Checkbox Selected: % de humedad ambiental,10:43:24
Multiplechoice Page Close Time,10:43:27
Pedagogical Page Open Time,10:43:27
Checkbox Selected: un_nombre_variable,10:43:27
Pedagogical Page Close Time,10:43:28
Parte 8,10:43:28
Multiplechoice Page Open Time,10:43:28
Multiplechoice Page Close Time,10:43:32
Pedagogical Page Open Time,10:43:32
Checkbox Selected: Balance: € 200,10:43:32
Pedagogical Page Close Time,10:43:33
Parte 9,10:43:33
Pedagogical Page Open Time,10:43:33
Pedagogical Page Close Time,10:43:34
Pedagogical2 Page Open Time,10:43:34
Pedagogical2 Page Close Time,10:43:34

