"Modulo 1, Leccion 1",
Pedagogical Page Close Time,10:58:48
Parte 3,10:58:48
Multiplechoice Page Open Time,10:58:48
Multiplechoice Page Close Time,10:58:55
Pedagogical Page Open Time,10:58:55
Checkbox Selected: una cadena,10:58:55
Pedagogical Page Close Time,10:58:56
Parte 4,10:58:56
Multiplechoice Page Open Time,10:58:56
Multiplechoice Page Close Time,10:59:01
Pedagogical Page Open Time,10:59:01
Checkbox Selected: input(),10:59:01
Pedagogical Page Close Time,10:59:02
Parte 5,10:59:02
Pedagogical Page Open Time,10:59:02
Pedagogical Page Close Time,10:59:03
Pedagogical2 Page Open Time,10:59:03
Pedagogical2 Page Close Time,10:59:04

