"Modulo 1, Leccion 1",
Draganddrop Page Open Time,10:38:02
Draganddrop Page Close Time,10:38:13
Parte 2,10:38:13
Pedagogical Page Open Time,10:38:13
Correct Answer Selected: Entero,10:38:13
Correct Answer Selected: Flotante,10:38:13
Correct Answer Selected: Cadena,10:38:13
Pedagogical Page Close Time,10:38:14
Draganddrop Page Open Time,10:38:14
Correct Drop Event: print('Nosotros somos los campeones amigos'),10:38:21
Correct Drop Event: print('Y seguiremos luchando hasta el final'),10:38:21
Correct Drop Event: print('Somos los campeones'),10:38:21
Draganddrop Page Close Time,10:38:22
Parte 3,10:38:22
Pedagogical Page Open Time,10:38:22
Pedagogical Page Close Time,10:38:23
Completeblankspace Page Open Time,10:38:23
Correct Answer Selected: print,10:38:27
Completeblankspace Page Close Time,10:38:28
Parte 4,10:38:28
Pedagogical Page Open Time,10:38:28
Pedagogical Page Close Time,10:38:29
Draganddrop Page Open Time,10:38:29
Correct Answer Selected: sep,10:38:35
Correct Answer Selected: '-',10:38:35
Draganddrop Page Close Time,10:38:36
Parte 5,10:38:36
Pedagogical Page Open Time,10:38:36
Pedagogical Page Close Time,10:38:36
Draganddrop Page Open Time,10:38:36
Draganddrop Page Close Time,10:38:41
Parte 6,10:38:41
Pedagogical Page Open Time,10:38:41
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",10:38:41
Pedagogical Page Close Time,10:38:42
Pedagogical2 Page Open Time,10:38:42
Pedagogical2 Page Close Time,10:38:42
Parte 7,10:38:42
Pedagogical Page Open Time,10:38:42
Pedagogical Page Close Time,10:38:43
Pedagogical2 Page Open Time,10:38:43
Pedagogical2 Page Close Time,10:38:43

"Modulo 1, Leccion 4",
Parte 1,10:38:46
Pedagogical Page Open Time,10:38:46
Pedagogical Page Close Time,10:38:52
Draganddrop Page Open Time,10:38:52
Correct Answer Selected: Entero,10:39:00
Correct Answer Selected: Flotante,10:39:00
Correct Answer Selected: Cadena,10:39:00
Draganddrop Page Close Time,10:39:01
Parte 2,10:39:01
Pedagogical Page Open Time,10:39:01
Pedagogical Page Close Time,10:39:01
Draganddrop Page Open Time,10:39:01
Draganddrop Page Close Time,10:39:10
Parte 3,10:39:10
Pedagogical Page Open Time,10:39:10
Pedagogical Page Close Time,10:39:10
Completeblankspace Page Open Time,10:39:10
Correct Drop Event: print('Nosotros somos los campeones amigos'),10:39:10
Correct Drop Event: print('Y seguiremos luchando hasta el final'),10:39:10
Correct Drop Event: print('Somos los campeones'),10:39:10
Completeblankspace Page Close Time,10:39:15
Parte 4,10:39:15
Pedagogical Page Open Time,10:39:15
Correct Answer Selected: print,10:39:15
Pedagogical Page Close Time,10:39:16
Draganddrop Page Open Time,10:39:16
Draganddrop Page Close Time,10:39:21
Parte 5,10:39:21
Pedagogical Page Open Time,10:39:21
Correct Answer Selected: sep,10:39:21
Correct Answer Selected: '-',10:39:21
Pedagogical Page Close Time,10:39:22
Draganddrop Page Open Time,10:39:22
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",10:39:26
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",10:39:26
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",10:39:36
Draganddrop Page Close Time,10:39:37
Parte 6,10:39:37
Pedagogical Page Open Time,10:39:37
Pedagogical Page Close Time,10:39:38
Pedagogical2 Page Open Time,10:39:38
Pedagogical2 Page Close Time,10:39:38
Parte 7,10:39:38
Pedagogical Page Open Time,10:39:38
Pedagogical Page Close Time,10:39:39
Pedagogical2 Page Open Time,10:39:39
Pedagogical2 Page Close Time,10:39:39

"Modulo 1, Leccion 5",
Parte 1,10:39:42
Pedagogical2 Page Open Time,10:39:42
Pedagogical2 Page Close Time,10:39:44
Parte 2,10:39:44
Pedagogical Page Open Time,10:39:44
Pedagogical Page Close Time,10:39:45
Pedagogical2 Page Open Time,10:39:45
Pedagogical2 Page Close Time,10:39:45
Parte 3,10:39:45
Multiplechoice Page Open Time,10:39:45
Checkbox Selected: valor.,10:39:48
Multiplechoice Page Close Time,10:39:49
Draganddrop Page Open Time,10:39:49
Correct Drop Event: edad,10:39:54
Correct Drop Event: 18,10:39:54
Draganddrop Page Close Time,10:39:55
Parte 4,10:39:55
Pedagogical Page Open Time,10:39:55
Pedagogical Page Close Time,10:39:56
Completeblankspace Page Open Time,10:39:56
Completeblankspace Page Close Time,10:39:59
Parte 5,10:39:59
Pedagogical Page Open Time,10:39:59
Correct Answer Selected: 2028,10:39:59
Pedagogical Page Close Time,10:40:00
Multiplechoice Page Open Time,10:40:00
Multiplechoice Page Close Time,10:40:04
Parte 6,10:40:04
Multiplechoice Page Open Time,10:40:04
Checkbox Selected: 24,10:40:04
Checkbox Selected: 12,10:40:09
Multiplechoice Page Close Time,10:40:10
Pedagogical Page Open Time,10:40:10
Pedagogical Page Close Time,10:40:10
Parte 7,10:40:10
Multiplechoice Page Open Time,10:40:10
Multiplechoice Page Close Time,10:40:14
Pedagogical Page Open Time,10:40:14
Checkbox Selected: un_nombre_variable,10:40:14
Pedagogical Page Close Time,10:40:15
Parte 8,10:40:15
Multiplechoice Page Open Time,10:40:15
Multiplechoice Page Close Time,10:40:18
Checkbox Selected: Balance: € 200,10:40:18
Pedagogical Page Open Time,10:40:19
Pedagogical Page Close Time,10:40:20
Parte 9,10:40:20
Pedagogical Page Open Time,10:40:20
Pedagogical Page Close Time,10:40:23
Pedagogical2 Page Open Time,10:40:23
Pedagogical2 Page Close Time,10:40:23

"Modulo 2, Leccion 1",
Parte 1,10:40:29
Pedagogical Page Open Time,10:40:29
Pedagogical Page Close Time,10:40:30
Pedagogical2 Page Open Time,10:40:30
Pedagogical2 Page Close Time,10:40:31
Parte 2,10:40:31
Draganddrop Page Open Time,10:40:31
Correct Answer Selected: '42',10:40:44
Correct Answer Selected: text,10:40:44
Draganddrop Page Close Time,10:40:45
Pedagogical Page Open Time,10:40:45
Pedagogical Page Close Time,10:40:45
Parte 3,10:40:45
Multiplechoice Page Open Time,10:40:45
Checkbox Selected: una cadena,10:40:49
Multiplechoice Page Close Time,10:40:50
Pedagogical Page Open Time,10:40:50
Pedagogical Page Close Time,10:40:51
Parte 4,10:40:51
Multiplechoice Page Open Time,10:40:51
Multiplechoice Page Close Time,10:40:55
Pedagogical Page Open Time,10:40:55
Checkbox Selected: input(),10:40:55
Pedagogical Page Close Time,10:40:56
Parte 5,10:40:56
Pedagogical Page Open Time,10:40:56
Pedagogical Page Close Time,10:40:57
Pedagogical2 Page Open Time,10:40:57
Pedagogical2 Page Close Time,10:40:58

