"Modulo 1, Leccion 1",
Checkbox Selected: 'The Lord of the Rings',17:59:05
Pedagogical Page Close Time,17:59:06
Parte 3,17:59:06
Draganddrop Page Open Time,17:59:06
Draganddrop Page Close Time,17:59:12
Pedagogical Page Open Time,17:59:12
Correct Drop Event: Water,17:59:12
Correct Drop Event: +,17:59:12
Correct Drop Event: Park,17:59:12
Pedagogical Page Close Time,17:59:13
Parte 4,17:59:13
Multiplechoice Page Open Time,17:59:13
Checkbox Selected: '100',17:59:17
Checkbox Selected: 'Manzana',17:59:17
Multiplechoice Page Close Time,17:59:18
Draganddrop Page Open Time,17:59:18
Correct Answer Selected: 100,17:59:25
Correct Answer Selected: 100.00,17:59:25
Correct Answer Selected: 'cien',17:59:25
Draganddrop Page Close Time,17:59:26
Parte 5,17:59:26
Pedagogical Page Open Time,17:59:26
Pedagogical Page Close Time,17:59:27
Pedagogical2 Page Open Time,17:59:27
Pedagogical2 Page Close Time,17:59:27
Parte 6,17:59:27
Pedagogical Page Open Time,17:59:27
Pedagogical Page Close Time,17:59:28

"Modulo 1, Leccion 4",
Parte 1,17:59:36
Pedagogical Page Open Time,17:59:36
Pedagogical Page Close Time,17:59:38
Draganddrop Page Open Time,17:59:38
Correct Answer Selected: Entero,17:59:48
Correct Answer Selected: Flotante,17:59:48
Correct Answer Selected: Cadena,17:59:48
Draganddrop Page Close Time,17:59:49
Parte 2,17:59:49
Pedagogical Page Open Time,17:59:49
Pedagogical Page Close Time,17:59:49
Draganddrop Page Open Time,17:59:49
Draganddrop Page Close Time,17:59:57
Parte 3,17:59:57
Pedagogical Page Open Time,17:59:57
Correct Drop Event: print('Nosotros somos los campeones amigos'),17:59:57
Correct Drop Event: print('Y seguiremos luchando hasta el final'),17:59:57
Correct Drop Event: print('Somos los campeones'),17:59:57
Pedagogical Page Close Time,17:59:58
Completeblankspace Page Open Time,17:59:58
Completeblankspace Page Close Time,18:00:03
Parte 4,18:00:03
Pedagogical Page Open Time,18:00:03
Correct Answer Selected: print,18:00:03
Pedagogical Page Close Time,18:00:04
Draganddrop Page Open Time,18:00:04
Draganddrop Page Close Time,18:00:09
Parte 5,18:00:09
Pedagogical Page Open Time,18:00:09
Correct Answer Selected: sep,18:00:09
Correct Answer Selected: '-',18:00:09
Pedagogical Page Close Time,18:00:10
Draganddrop Page Open Time,18:00:10
Draganddrop Page Close Time,18:00:15
Parte 6,18:00:15
Pedagogical Page Open Time,18:00:15
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",18:00:15
Pedagogical Page Close Time,18:00:16
Pedagogical2 Page Open Time,18:00:16
Pedagogical2 Page Close Time,18:00:17
Parte 7,18:00:17
Pedagogical Page Open Time,18:00:17
Pedagogical Page Close Time,18:00:17
Pedagogical2 Page Open Time,18:00:17
Pedagogical2 Page Close Time,18:00:18

"Modulo 1, Leccion 5",
Parte 1,18:00:24
Pedagogical2 Page Open Time,18:00:24
Pedagogical2 Page Close Time,18:00:26
Parte 2,18:00:26
Pedagogical Page Open Time,18:00:26
Pedagogical Page Close Time,18:00:27
Pedagogical2 Page Open Time,18:00:27
Pedagogical2 Page Close Time,18:00:28
Parte 3,18:00:28
Multiplechoice Page Open Time,18:00:28
Multiplechoice Page Close Time,18:00:31
Draganddrop Page Open Time,18:00:31
Checkbox Selected: valor.,18:00:31
Correct Drop Event: edad,18:00:35
Correct Drop Event: 18,18:00:35
Draganddrop Page Close Time,18:00:36
Parte 4,18:00:36
Pedagogical Page Open Time,18:00:36
Pedagogical Page Close Time,18:00:37
Completeblankspace Page Open Time,18:00:37
Correct Answer Selected: 2028,18:00:40
Completeblankspace Page Close Time,18:00:41
Parte 5,18:00:41
Pedagogical Page Open Time,18:00:41
Pedagogical Page Close Time,18:00:42
Multiplechoice Page Open Time,18:00:42
Multiplechoice Page Close Time,18:00:45
Parte 6,18:00:45
Multiplechoice Page Open Time,18:00:45
Checkbox Selected: 24,18:00:45
Multiplechoice Page Close Time,18:00:49
Pedagogical Page Open Time,18:00:49
Checkbox Selected: 12,18:00:49
Pedagogical Page Close Time,18:00:50
Parte 7,18:00:50
Multiplechoice Page Open Time,18:00:50
Multiplechoice Page Close Time,18:00:54
Pedagogical Page Open Time,18:00:54
Checkbox Selected: un_nombre_variable,18:00:54
Pedagogical Page Close Time,18:00:55
Parte 8,18:00:55
Multiplechoice Page Open Time,18:00:55
Checkbox Selected: Balance: € 200,18:00:58
Multiplechoice Page Close Time,18:00:59
Pedagogical Page Open Time,18:00:59
Pedagogical Page Close Time,18:00:59
Parte 9,18:00:59
Pedagogical Page Open Time,18:00:59
Pedagogical Page Close Time,18:01:00
Pedagogical2 Page Open Time,18:01:00
Pedagogical2 Page Close Time,18:01:00

"Modulo 2, Leccion 1",
Parte 1,18:01:11
Pedagogical Page Open Time,18:01:11
Pedagogical Page Close Time,18:01:12
Pedagogical2 Page Open Time,18:01:12
Pedagogical2 Page Close Time,18:01:13
Parte 2,18:01:13
Draganddrop Page Open Time,18:01:13
Correct Answer Selected: '42',18:01:20
Correct Answer Selected: text,18:01:20
Draganddrop Page Close Time,18:01:21
Pedagogical Page Open Time,18:01:21
Pedagogical Page Close Time,18:01:21
Parte 3,18:01:21
Multiplechoice Page Open Time,18:01:21
Checkbox Selected: una cadena,18:01:25
Multiplechoice Page Close Time,18:01:26
Pedagogical Page Open Time,18:01:26
Pedagogical Page Close Time,18:01:26
Parte 4,18:01:26
Multiplechoice Page Open Time,18:01:26
Checkbox Selected: input(),18:01:30
Multiplechoice Page Close Time,18:01:31
Pedagogical Page Open Time,18:01:31
Pedagogical Page Close Time,18:01:32
Parte 5,18:01:32
Pedagogical Page Open Time,18:01:32
Pedagogical Page Close Time,18:01:33
Pedagogical2 Page Open Time,18:01:33
Pedagogical2 Page Close Time,18:01:33

