"Modulo 1, Leccion 1",
Completeblankspace Page Open Time,10:47:00
Completeblankspace Page Close Time,10:47:03
Parte 5,10:47:03
Pedagogical Page Open Time,10:47:03
Correct Answer Selected: 2028,10:47:03
Pedagogical Page Close Time,10:47:04
Multiplechoice Page Open Time,10:47:04
Multiplechoice Page Close Time,10:47:09
Parte 6,10:47:09
Multiplechoice Page Open Time,10:47:09
Checkbox Selected: 24,10:47:09
Checkbox Selected: 12,10:47:12
Multiplechoice Page Close Time,10:47:13
Pedagogical Page Open Time,10:47:13
Pedagogical Page Close Time,10:47:14
Parte 7,10:47:14
Multiplechoice Page Open Time,10:47:14
Multiplechoice Page Close Time,10:47:17
Pedagogical Page Open Time,10:47:17
Checkbox Selected: un_nombre_variable,10:47:17
Pedagogical Page Close Time,10:47:18
Parte 8,10:47:18
Multiplechoice Page Open Time,10:47:18
Multiplechoice Page Close Time,10:47:21
Pedagogical Page Open Time,10:47:21
Checkbox Selected: Balance: € 200,10:47:21
Pedagogical Page Close Time,10:47:22
Parte 9,10:47:22
Pedagogical Page Open Time,10:47:22
Pedagogical Page Close Time,10:47:23
Pedagogical2 Page Open Time,10:47:23
Pedagogical2 Page Close Time,10:47:24

"Modulo 2, Leccion 1",
Parte 1,10:48:00
Pedagogical Page Open Time,10:48:00
Pedagogical Page Close Time,10:48:01
Pedagogical2 Page Open Time,10:48:01
Pedagogical2 Page Close Time,10:48:02
Parte 2,10:48:02
Draganddrop Page Open Time,10:48:02
Correct Answer Selected: '42',10:48:08
Correct Answer Selected: text,10:48:08
Draganddrop Page Close Time,10:48:09
Pedagogical Page Open Time,10:48:09
Pedagogical Page Close Time,10:48:10
Parte 3,10:48:10
Multiplechoice Page Open Time,10:48:10
Multiplechoice Page Close Time,10:48:16
Pedagogical Page Open Time,10:48:16
Checkbox Selected: una cadena,10:48:16
Pedagogical Page Close Time,10:48:17
Parte 4,10:48:17
Multiplechoice Page Open Time,10:48:17
Checkbox Selected: input(),10:48:20
Multiplechoice Page Close Time,10:48:21
Pedagogical Page Open Time,10:48:21
Pedagogical Page Close Time,10:48:22
Parte 5,10:48:22
Pedagogical Page Open Time,10:48:22
Pedagogical Page Close Time,10:48:24
Pedagogical2 Page Open Time,10:48:24
Pedagogical2 Page Close Time,10:48:25

