"Modulo 1, Leccion 1",
Pedagogical Page Open Time,11:04:59
Correct Answer Selected: Entero:2,11:04:59
Correct Answer Selected: Flotante:3.14,11:04:59
Pedagogical Page Close Time,11:05:00
Parte 6,11:05:00
Pedagogical Page Open Time,11:05:00
Pedagogical Page Close Time,11:05:01
Pedagogical2 Page Open Time,11:05:01
Pedagogical2 Page Close Time,11:05:01
Parte 7,11:05:01
Pedagogical Page Open Time,11:05:01
Pedagogical Page Close Time,11:05:02

"Modulo 1, Leccion 3",
Parte 1,11:05:09
Pedagogical Page Open Time,11:05:09
Pedagogical Page Close Time,11:05:10
Pedagogical2 Page Open Time,11:05:10
Pedagogical2 Page Close Time,11:05:11
Parte 2,11:05:11
Multiplechoice Page Open Time,11:05:11
Checkbox Selected: 'Viernes',11:05:15
Checkbox Selected: 'The Lord of the Rings',11:05:15
Multiplechoice Page Close Time,11:05:16
Pedagogical Page Open Time,11:05:16
Pedagogical Page Close Time,11:05:16
Parte 3,11:05:16
Draganddrop Page Open Time,11:05:16
Correct Drop Event: Water,11:05:38
Correct Drop Event: +,11:05:38
Correct Drop Event: Park,11:05:38
Draganddrop Page Close Time,11:05:39
Pedagogical Page Open Time,11:05:39
Pedagogical Page Close Time,11:05:40
Parte 4,11:05:40
Multiplechoice Page Open Time,11:05:40
Multiplechoice Page Close Time,11:05:45
Draganddrop Page Open Time,11:05:45
Checkbox Selected: '100',11:05:45
Checkbox Selected: 'Manzana',11:05:45
Correct Answer Selected: 100,11:05:52
Correct Answer Selected: 100.00,11:05:52
Correct Answer Selected: 'cien',11:05:52
Draganddrop Page Close Time,11:05:53
Parte 5,11:05:53
Pedagogical Page Open Time,11:05:53
Pedagogical Page Close Time,11:05:53
Pedagogical2 Page Open Time,11:05:53
Pedagogical2 Page Close Time,11:05:54
Parte 6,11:05:54
Pedagogical Page Open Time,11:05:54
Pedagogical Page Close Time,11:05:54

"Modulo 1, Leccion 4",
Parte 1,11:06:01
Pedagogical Page Open Time,11:06:01
Pedagogical Page Close Time,11:06:02
Draganddrop Page Open Time,11:06:02
Correct Answer Selected: Entero,11:06:08
Correct Answer Selected: Flotante,11:06:08
Correct Answer Selected: Cadena,11:06:08
Draganddrop Page Close Time,11:06:09
Parte 2,11:06:09
Pedagogical Page Open Time,11:06:09
Pedagogical Page Close Time,11:06:09
Draganddrop Page Open Time,11:06:09
Correct Drop Event: print('Nosotros somos los campeones amigos'),11:06:15
Correct Drop Event: print('Y seguiremos luchando hasta el final'),11:06:15
Correct Drop Event: print('Somos los campeones'),11:06:15
Draganddrop Page Close Time,11:06:16
Parte 3,11:06:16
Pedagogical Page Open Time,11:06:16
Pedagogical Page Close Time,11:06:16
Completeblankspace Page Open Time,11:06:16
Correct Answer Selected: print,11:06:20
Completeblankspace Page Close Time,11:06:21
Parte 4,11:06:21
Pedagogical Page Open Time,11:06:21
Pedagogical Page Close Time,11:06:21
Draganddrop Page Open Time,11:06:21
Draganddrop Page Close Time,11:06:26
Parte 5,11:06:26
Pedagogical Page Open Time,11:06:26
Correct Answer Selected: sep,11:06:26
Correct Answer Selected: '-',11:06:26
Pedagogical Page Close Time,11:06:27
Draganddrop Page Open Time,11:06:27
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",11:06:31
Draganddrop Page Close Time,11:06:37
Parte 6,11:06:37
Pedagogical Page Open Time,11:06:37
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",11:06:37
Pedagogical Page Close Time,11:06:38
Pedagogical2 Page Open Time,11:06:38
Pedagogical2 Page Close Time,11:06:38
Parte 7,11:06:38
Pedagogical Page Open Time,11:06:38
Pedagogical Page Close Time,11:06:39
Pedagogical2 Page Open Time,11:06:39
Pedagogical2 Page Close Time,11:06:39

"Modulo 1, Leccion 5",
Parte 1,11:06:43
Pedagogical2 Page Open Time,11:06:43
Pedagogical2 Page Close Time,11:06:45
Parte 2,11:06:45
Pedagogical Page Open Time,11:06:45
Pedagogical Page Close Time,11:06:46
Pedagogical2 Page Open Time,11:06:46
Pedagogical2 Page Close Time,11:06:47
Parte 3,11:06:47
Multiplechoice Page Open Time,11:06:47
Multiplechoice Page Close Time,11:06:49
Draganddrop Page Open Time,11:06:49
Checkbox Selected: valor.,11:06:49
Correct Drop Event: edad,11:06:53
Correct Drop Event: 18,11:06:53
Draganddrop Page Close Time,11:06:54
Parte 4,11:06:54
Pedagogical Page Open Time,11:06:54
Pedagogical Page Close Time,11:06:54
Completeblankspace Page Open Time,11:06:54
Correct Answer Selected: 2028,11:06:57
Completeblankspace Page Close Time,11:06:58
Parte 5,11:06:58
Pedagogical Page Open Time,11:06:58
Pedagogical Page Close Time,11:06:58
Multiplechoice Page Open Time,11:06:58
Multiplechoice Page Close Time,11:07:03
Parte 6,11:07:03
Multiplechoice Page Open Time,11:07:03
Checkbox Selected: 24,11:07:03
Multiplechoice Page Close Time,11:07:06
Pedagogical Page Open Time,11:07:06
Checkbox Selected: 12,11:07:06
Pedagogical Page Close Time,11:07:07
Parte 7,11:07:07
Multiplechoice Page Open Time,11:07:07
Multiplechoice Page Close Time,11:07:12
Pedagogical Page Open Time,11:07:12
Checkbox Selected: un_nombre_variable,11:07:12
Pedagogical Page Close Time,11:07:13
Parte 8,11:07:13
Multiplechoice Page Open Time,11:07:13
Multiplechoice Page Close Time,11:07:16
Pedagogical Page Open Time,11:07:16
Checkbox Selected: Balance: € 200,11:07:16
Pedagogical Page Close Time,11:07:17
Parte 9,11:07:17
Pedagogical Page Open Time,11:07:17
Pedagogical Page Close Time,11:07:18
Pedagogical2 Page Open Time,11:07:18
Pedagogical2 Page Close Time,11:07:18

"Modulo 2, Leccion 1",
Parte 1,11:07:24
Pedagogical Page Open Time,11:07:24
Pedagogical Page Close Time,11:07:26
Pedagogical2 Page Open Time,11:07:26
Pedagogical2 Page Close Time,11:07:27
Parte 2,11:07:27
Draganddrop Page Open Time,11:07:27
Correct Answer Selected: '42',11:07:33
Correct Answer Selected: text,11:07:33
Draganddrop Page Close Time,11:07:34
Pedagogical Page Open Time,11:07:34
Pedagogical Page Close Time,11:07:34
Parte 3,11:07:34
Multiplechoice Page Open Time,11:07:34
Checkbox Selected: una cadena,11:07:37
Multiplechoice Page Close Time,11:07:38
Pedagogical Page Open Time,11:07:38
Pedagogical Page Close Time,11:07:39
Parte 4,11:07:39
Multiplechoice Page Open Time,11:07:39
Checkbox Selected: input(),11:07:41
Multiplechoice Page Close Time,11:07:42
Pedagogical Page Open Time,11:07:42
Pedagogical Page Close Time,11:07:43
Parte 5,11:07:43
Pedagogical Page Open Time,11:07:43
Pedagogical Page Close Time,11:07:44
Pedagogical2 Page Open Time,11:07:44
Pedagogical2 Page Close Time,11:07:44

