"Modulo 1, Leccion 1",
Pedagogical Page Open Time,13:12:00
Pedagogical Page Close Time,13:12:02
Parte 5,13:12:02
Draganddrop Page Open Time,13:12:02
Draganddrop Page Close Time,13:12:06
Pedagogical Page Open Time,13:12:06
Correct Answer Selected: Entero:2,13:12:06
Correct Answer Selected: Flotante:3.14,13:12:06
Pedagogical Page Close Time,13:12:07
Parte 6,13:12:07
Pedagogical Page Open Time,13:12:07
Pedagogical Page Close Time,13:12:07
Pedagogical2 Page Open Time,13:12:07
Pedagogical2 Page Close Time,13:12:08
Parte 7,13:12:08
Pedagogical Page Open Time,13:12:08
Pedagogical Page Close Time,13:12:08

"Modulo 1, Leccion 3",
Parte 1,13:12:14
Pedagogical Page Open Time,13:12:14
Pedagogical Page Close Time,13:12:16
Pedagogical2 Page Open Time,13:12:16
Pedagogical2 Page Close Time,13:12:17
Pedagogical Page Open Time,13:12:17
Pedagogical Page Close Time,13:12:17
Pedagogical2 Page Open Time,13:12:17
Pedagogical2 Page Close Time,13:12:18
Parte 2,13:12:18
Multiplechoice Page Open Time,13:12:18
Checkbox Selected: 'Viernes',13:12:22
Checkbox Selected: 'The Lord of the Rings',13:12:22
Multiplechoice Page Close Time,13:12:23
Pedagogical Page Open Time,13:12:23
Pedagogical Page Close Time,13:12:23
Parte 3,13:12:23
Draganddrop Page Open Time,13:12:23
Draganddrop Page Close Time,13:12:29
Pedagogical Page Open Time,13:12:29
Correct Drop Event: Water,13:12:29
Correct Drop Event: +,13:12:29
Correct Drop Event: Park,13:12:29
Pedagogical Page Close Time,13:12:30
Parte 4,13:12:30
Multiplechoice Page Open Time,13:12:30
Checkbox Selected: 'Manzana',13:12:33
Checkbox Selected: 'Manzana',13:12:33
Multiplechoice Page Close Time,13:12:36
Draganddrop Page Open Time,13:12:36
Checkbox Selected: '100',13:12:36
Checkbox Selected: 'Manzana',13:12:36
Draganddrop Page Close Time,13:12:43
Parte 5,13:12:43
Pedagogical Page Open Time,13:12:43
Correct Answer Selected: 100,13:12:43
Correct Answer Selected: 100.00,13:12:43
Correct Answer Selected: 'cien',13:12:43
Pedagogical Page Close Time,13:12:44
Pedagogical2 Page Open Time,13:12:44
Pedagogical2 Page Close Time,13:12:44
Parte 6,13:12:44
Pedagogical Page Open Time,13:12:44
Pedagogical Page Close Time,13:12:45

"Modulo 1, Leccion 4",
Parte 1,13:12:59
Pedagogical Page Open Time,13:12:59
Pedagogical Page Close Time,13:13:01
Draganddrop Page Open Time,13:13:01
Draganddrop Page Close Time,13:13:01
Pedagogical Page Open Time,13:13:01
Pedagogical Page Close Time,13:13:02
Draganddrop Page Open Time,13:13:02
Incorrect Answer Selected: <Espacio para respuesta>,13:13:02
Incorrect Answer Selected: <Espacio para respuesta>,13:13:02
Incorrect Answer Selected: <Espacio para respuesta>,13:13:02
Correct Answer Selected: Entero,13:13:08
Incorrect Answer Selected: Cadena,13:13:08
Incorrect Answer Selected: Flotante,13:13:08
Correct Answer Selected: Entero,13:13:08
Incorrect Answer Selected: Cadena,13:13:08
Incorrect Answer Selected: Flotante,13:13:08
Correct Answer Selected: Entero,13:13:18
Correct Answer Selected: Flotante,13:13:18
Correct Answer Selected: Cadena,13:13:18
Draganddrop Page Close Time,13:13:19
Parte 2,13:13:19
Pedagogical Page Open Time,13:13:19
Pedagogical Page Close Time,13:13:19
Draganddrop Page Open Time,13:13:19
Correct Drop Event: print('Nosotros somos los campeones amigos'),13:13:25
Correct Drop Event: print('Y seguiremos luchando hasta el final'),13:13:25
Correct Drop Event: print('Somos los campeones'),13:13:25
Draganddrop Page Close Time,13:13:26
Parte 3,13:13:26
Pedagogical Page Open Time,13:13:26
Pedagogical Page Close Time,13:13:27
Completeblankspace Page Open Time,13:13:27
Completeblankspace Page Close Time,13:13:30
Parte 4,13:13:30
Pedagogical Page Open Time,13:13:30
Correct Answer Selected: print,13:13:30
Pedagogical Page Close Time,13:13:31
Draganddrop Page Open Time,13:13:31
Correct Answer Selected: sep,13:13:35
Correct Answer Selected: '-',13:13:35
Draganddrop Page Close Time,13:13:36
Parte 5,13:13:36
Pedagogical Page Open Time,13:13:36
Pedagogical Page Close Time,13:13:36
Draganddrop Page Open Time,13:13:36
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",13:13:40
Draganddrop Page Close Time,13:13:41
Parte 6,13:13:41
Pedagogical Page Open Time,13:13:41
Pedagogical Page Close Time,13:13:42
Pedagogical2 Page Open Time,13:13:42
Pedagogical2 Page Close Time,13:13:43
Parte 7,13:13:43
Pedagogical Page Open Time,13:13:43
Pedagogical Page Close Time,13:13:43
Pedagogical2 Page Open Time,13:13:43
Pedagogical2 Page Close Time,13:13:44

"Modulo 1, Leccion 5",
Parte 1,13:13:46
Pedagogical2 Page Open Time,13:13:46
Pedagogical2 Page Close Time,13:13:48
Parte 2,13:13:48
Pedagogical Page Open Time,13:13:48
Pedagogical Page Close Time,13:13:48
Pedagogical2 Page Open Time,13:13:48
Pedagogical2 Page Close Time,13:13:49
Parte 3,13:13:49
Multiplechoice Page Open Time,13:13:49
Multiplechoice Page Close Time,13:13:52
Draganddrop Page Open Time,13:13:52
Checkbox Selected: valor.,13:13:52
Correct Drop Event: edad,13:13:56
Correct Drop Event: 18,13:13:56
Draganddrop Page Close Time,13:13:57
Parte 4,13:13:57
Pedagogical Page Open Time,13:13:57
Pedagogical Page Close Time,13:13:57
Completeblankspace Page Open Time,13:13:57
Correct Answer Selected: 2028,13:14:01
Completeblankspace Page Close Time,13:14:02
Parte 5,13:14:02
Pedagogical Page Open Time,13:14:02
Pedagogical Page Close Time,13:14:03
Multiplechoice Page Open Time,13:14:03
Checkbox Selected: 24,13:14:07
Multiplechoice Page Close Time,13:14:08
Parte 6,13:14:08
Multiplechoice Page Open Time,13:14:08
Multiplechoice Page Close Time,13:14:12
Pedagogical Page Open Time,13:14:12
Checkbox Selected: 12,13:14:12
Pedagogical Page Close Time,13:14:13
Parte 7,13:14:13
Multiplechoice Page Open Time,13:14:13
Multiplechoice Page Close Time,13:14:17
Pedagogical Page Open Time,13:14:17
Checkbox Selected: un_nombre_variable,13:14:17
Pedagogical Page Close Time,13:14:18
Parte 8,13:14:18
Multiplechoice Page Open Time,13:14:18
Checkbox Selected: Balance: € 200,13:14:22
Multiplechoice Page Close Time,13:14:23
Pedagogical Page Open Time,13:14:23
Pedagogical Page Close Time,13:14:26
Parte 9,13:14:26
Pedagogical Page Open Time,13:14:26
Pedagogical Page Close Time,13:14:31
Pedagogical2 Page Open Time,13:14:31
Pedagogical2 Page Close Time,13:14:32

"Modulo 2, Leccion 1",
Parte 1,18:42:25
Pedagogical Page Open Time,18:42:25
Pedagogical Page Close Time,18:42:40
Pedagogical2 Page Open Time,18:42:40
Pedagogical2 Page Close Time,18:42:42
Parte 2,18:42:42
Draganddrop Page Open Time,18:42:42
Correct Answer Selected: '42',18:42:47
Correct Answer Selected: text,18:42:47
Draganddrop Page Close Time,18:42:48
Pedagogical Page Open Time,18:42:48
Pedagogical Page Close Time,18:42:48
Parte 3,18:42:48
Multiplechoice Page Open Time,18:42:48
Checkbox Selected: una cadena,18:42:55
Multiplechoice Page Close Time,18:42:56
Pedagogical Page Open Time,18:42:56
Pedagogical Page Close Time,18:42:57
Parte 4,18:42:57
Multiplechoice Page Open Time,18:42:57
Checkbox Selected: input(),18:43:03
Multiplechoice Page Close Time,18:43:04
Pedagogical Page Open Time,18:43:04
Pedagogical Page Close Time,18:43:05
Parte 5,18:43:05
Pedagogical Page Open Time,18:43:05
Pedagogical Page Close Time,18:43:05
Pedagogical2 Page Open Time,18:43:05
Pedagogical2 Page Close Time,18:43:06

