"Modulo 1, Leccion 1",
Parte 5,08:34:56
Pedagogical Page Open Time,08:34:56
Pedagogical Page Close Time,08:34:56
Multiplechoice Page Open Time,08:34:56
Multiplechoice Page Close Time,08:35:01
Parte 6,08:35:01
Multiplechoice Page Open Time,08:35:01
Checkbox Selected: 24,08:35:01
Checkbox Selected: 12,08:35:05
Multiplechoice Page Close Time,08:35:06
Pedagogical Page Open Time,08:35:06
Pedagogical Page Close Time,08:35:07
Parte 7,08:35:07
Multiplechoice Page Open Time,08:35:07
Checkbox Selected: un_nombre_variable,08:35:16
Multiplechoice Page Close Time,08:35:17
Pedagogical Page Open Time,08:35:17
Pedagogical Page Close Time,08:35:17
Parte 8,08:35:17
Multiplechoice Page Open Time,08:35:17
Checkbox Selected: Balance: € 200,08:35:21
Multiplechoice Page Close Time,08:35:22
Pedagogical Page Open Time,08:35:22
Pedagogical Page Close Time,08:35:22
Parte 9,08:35:22
Pedagogical Page Open Time,08:35:22
Pedagogical Page Close Time,08:35:23
Pedagogical2 Page Open Time,08:35:23
Pedagogical2 Page Close Time,08:35:24

"Modulo 2, Leccion 1",
Parte 1,08:35:33
Pedagogical Page Open Time,08:35:33
Pedagogical Page Close Time,08:35:37
Pedagogical2 Page Open Time,08:35:37
Pedagogical2 Page Close Time,08:35:38
Parte 2,08:35:38
Draganddrop Page Open Time,08:35:38
Correct Answer Selected: '42',08:35:44
Correct Answer Selected: text,08:35:44
Draganddrop Page Close Time,08:35:45
Pedagogical Page Open Time,08:35:45
Pedagogical Page Close Time,08:35:46
Parte 3,08:35:46
Multiplechoice Page Open Time,08:35:46
Multiplechoice Page Close Time,08:35:58
Pedagogical Page Open Time,08:35:58
Checkbox Selected: una cadena,08:35:58
Pedagogical Page Close Time,08:35:59
Parte 4,08:35:59
Multiplechoice Page Open Time,08:35:59
Checkbox Selected: input(),08:36:07
Multiplechoice Page Close Time,08:36:08
Pedagogical Page Open Time,08:36:08
Pedagogical Page Close Time,08:36:08
Parte 5,08:36:08
Pedagogical Page Open Time,08:36:08
Pedagogical Page Close Time,08:36:09
Pedagogical2 Page Open Time,08:36:09
Pedagogical2 Page Close Time,08:36:15

