"Modulo 1, Leccion 1",
Draganddrop Page Close Time,16:59:32
Parte 6,16:59:32
Pedagogical Page Open Time,16:59:32
Pedagogical Page Close Time,16:59:34
Pedagogical2 Page Open Time,16:59:34
Pedagogical2 Page Close Time,16:59:37
Parte 7,16:59:37
Pedagogical Page Open Time,16:59:37
Pedagogical Page Close Time,16:59:44
Pedagogical2 Page Open Time,16:59:44
Pedagogical2 Page Close Time,17:00:17

"Modulo 1, Leccion 5",
Parte 1,17:06:08
Pedagogical2 Page Open Time,17:06:08
Pedagogical2 Page Close Time,17:06:12
Parte 2,17:06:13
Pedagogical Page Open Time,17:06:13
Playground Page Open,17:06:17
Playground Page Close,17:06:47
Pedagogical Page Close Time,17:06:49
Pedagogical2 Page Open Time,17:06:49
Pedagogical2 Page Close Time,17:06:58
Parte 3,17:06:58
Multiplechoice Page Open Time,17:06:58
Checkbox Selected: valor.,17:07:19
Multiplechoice Page Close Time,17:07:20
Draganddrop Page Open Time,17:07:20
Correct Drop Event: edad,17:07:38
Correct Drop Event: 18,17:07:38
Draganddrop Page Close Time,17:07:39
Parte 4,17:07:39
Pedagogical Page Open Time,17:07:39
Pedagogical Page Close Time,17:07:45
Completeblankspace Page Open Time,17:07:45
Correct Answer Selected: 2028,17:16:46
Completeblankspace Page Close Time,17:16:47
Parte 5,17:16:47
Pedagogical Page Open Time,17:16:47
Pedagogical Page Close Time,17:17:24
Multiplechoice Page Open Time,17:17:24
Multiplechoice Page Close Time,17:17:33
Parte 6,17:17:33
Multiplechoice Page Open Time,17:17:33
Checkbox Selected: 24,17:17:33
Checkbox Selected: 12,17:17:39
Multiplechoice Page Close Time,17:17:40
Pedagogical Page Open Time,17:17:40
Pedagogical Page Close Time,17:17:43
Parte 7,17:17:43
Multiplechoice Page Open Time,17:17:43
Checkbox Selected: un_nombre_variable,17:18:06
Multiplechoice Page Close Time,17:18:07
Pedagogical Page Open Time,17:18:07
Playground Page Open,17:18:11
Playground Page Close,17:18:35
Pedagogical Page Close Time,17:18:36
Parte 8,17:18:36
Multiplechoice Page Open Time,17:18:36
Checkbox Selected: Balance: € 200,17:18:53
Multiplechoice Page Close Time,17:18:54
Pedagogical Page Open Time,17:18:54
Pedagogical Page Close Time,17:18:56
Parte 9,17:18:56
Pedagogical Page Open Time,17:18:56
Pedagogical Page Close Time,17:18:58
Pedagogical2 Page Open Time,17:18:58
Playground Page Open,17:19:02
Playground Page Close,17:19:07
Pedagogical2 Page Close Time,17:19:08

