"Modulo 1, Leccion 1",
Pedagogical Page Open Time,17:33:39
Pedagogical Page Close Time,17:33:39
Parte 4,17:33:39
Multiplechoice Page Open Time,17:33:39
Checkbox Selected: '100',17:33:48
Checkbox Selected: 'Manzana',17:33:48
Multiplechoice Page Close Time,17:33:49
Draganddrop Page Open Time,17:33:49
Correct Answer Selected: 100,17:33:58
Correct Answer Selected: 100.00,17:33:58
Correct Answer Selected: 'cien',17:33:58
Draganddrop Page Close Time,17:33:59
Parte 5,17:33:59
Pedagogical Page Open Time,17:33:59
Pedagogical Page Close Time,17:34:00
Pedagogical2 Page Open Time,17:34:00
Pedagogical2 Page Close Time,17:34:01
Parte 6,17:34:01
Pedagogical Page Open Time,17:34:01
Pedagogical Page Close Time,17:34:01

"Modulo 1, Leccion 4",
Parte 1,17:34:09
Pedagogical Page Open Time,17:34:09
Pedagogical Page Close Time,17:34:11
Draganddrop Page Open Time,17:34:11
Draganddrop Page Close Time,17:34:29
Parte 2,17:34:29
Pedagogical Page Open Time,17:34:29
Correct Answer Selected: Entero,17:34:29
Correct Answer Selected: Flotante,17:34:29
Correct Answer Selected: Cadena,17:34:29
Pedagogical Page Close Time,17:34:30
Draganddrop Page Open Time,17:34:30
Correct Drop Event: print('Nosotros somos los campeones amigos'),17:34:44
Correct Drop Event: print('Y seguiremos luchando hasta el final'),17:34:44
Correct Drop Event: print('Somos los campeones'),17:34:44
Draganddrop Page Close Time,17:34:45
Parte 3,17:34:45
Pedagogical Page Open Time,17:34:45
Pedagogical Page Close Time,17:34:46
Completeblankspace Page Open Time,17:34:46
Completeblankspace Page Close Time,17:35:33
Parte 4,17:35:33
Pedagogical Page Open Time,17:35:33
Correct Answer Selected: print,17:35:33
Pedagogical Page Close Time,17:35:34
Draganddrop Page Open Time,17:35:34
Incorrect Answer Selected: 'sep',17:35:51
Correct Answer Selected: sep,17:35:58
Correct Answer Selected: '-',17:35:58
Draganddrop Page Close Time,17:35:59
Parte 5,17:35:59
Pedagogical Page Open Time,17:35:59
Pedagogical Page Close Time,17:35:59
Draganddrop Page Open Time,17:35:59
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",17:36:00
Draganddrop Page Close Time,17:36:10
Parte 6,17:36:10
Pedagogical Page Open Time,17:36:10
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",17:36:10
Pedagogical Page Close Time,17:36:11
Pedagogical2 Page Open Time,17:36:11
Pedagogical2 Page Close Time,17:36:12
Parte 7,17:36:12
Pedagogical Page Open Time,17:36:12
Pedagogical Page Close Time,17:36:13
Pedagogical2 Page Open Time,17:36:13
Pedagogical2 Page Close Time,17:36:15

"Modulo 1, Leccion 5",
Parte 1,17:36:19
Pedagogical2 Page Open Time,17:36:19
Pedagogical2 Page Close Time,17:36:21
Parte 2,17:36:21
Pedagogical Page Open Time,17:36:21
Pedagogical Page Close Time,17:36:23
Pedagogical2 Page Open Time,17:36:23
Pedagogical2 Page Close Time,17:36:26
Parte 3,17:36:26
Multiplechoice Page Open Time,17:36:26
Checkbox Selected: valor.,17:36:32
Multiplechoice Page Close Time,17:36:33
Draganddrop Page Open Time,17:36:33
Correct Drop Event: edad,17:36:42
Correct Drop Event: 18,17:36:42
Draganddrop Page Close Time,17:36:43
Parte 4,17:36:43
Pedagogical Page Open Time,17:36:43
Pedagogical Page Close Time,17:36:44
Completeblankspace Page Open Time,17:36:44
Incorrect Answer Selected: 2023,17:36:55
Incorrect Answer Selected: 2025,17:37:03
Correct Answer Selected: 2028,17:37:07
Completeblankspace Page Close Time,17:37:08
Parte 5,17:37:08
Pedagogical Page Open Time,17:37:08
Pedagogical Page Close Time,17:37:09
Multiplechoice Page Open Time,17:37:09
Checkbox Selected: 24,17:37:17
Multiplechoice Page Close Time,17:37:18
Parte 6,17:37:18
Multiplechoice Page Open Time,17:37:18
Multiplechoice Page Close Time,17:37:24
Checkbox Selected: 12,17:37:24
Pedagogical Page Open Time,17:37:25
Pedagogical Page Close Time,17:37:25
Parte 7,17:37:25
Multiplechoice Page Open Time,17:37:25
Checkbox Selected: un_nombre_variable,17:37:34
Multiplechoice Page Close Time,17:37:35
Pedagogical Page Open Time,17:37:35
Pedagogical Page Close Time,17:37:36
Parte 8,17:37:36
Multiplechoice Page Open Time,17:37:36
Checkbox Selected: Balance: 200€,17:37:47
Checkbox Selected: Balance: currency money,17:37:52
Checkbox Selected: Balance: € 200,17:37:55
Multiplechoice Page Close Time,17:37:56
Pedagogical Page Open Time,17:37:56
Pedagogical Page Close Time,17:37:57
Parte 9,17:37:57
Pedagogical Page Open Time,17:37:57
Pedagogical Page Close Time,17:37:58
Pedagogical2 Page Open Time,17:37:58
Pedagogical2 Page Close Time,17:37:58

