Pedagogical Page Close Time,11:00:14
Parte 4,11:00:14
Multiplechoice Page Open Time,11:00:14
Checkbox Selected: input(),11:00:17
Multiplechoice Page Close Time,11:00:18
Pedagogical Page Open Time,11:00:18
Pedagogical Page Close Time,11:00:18
Parte 5,11:00:18
Pedagogical Page Open Time,11:00:18
Pedagogical Page Close Time,11:00:19
Pedagogical2 Page Open Time,11:00:19
Pedagogical2 Page Close Time,11:00:20

"Modulo 1, Leccion 1",
Parte 1,11:00:47
Pedagogical Page Open Time,11:00:47
Pedagogical Page Close Time,11:00:48
Multiplechoice Page Open Time,11:00:48
Multiplechoice Page Close Time,11:00:52
Parte 2,11:00:52
Pedagogical Page Open Time,11:00:52
Pedagogical Page Close Time,11:00:52
Pedagogical2 Page Open Time,11:00:52
Parte 1,11:00:52
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:00:52
Pedagogical2 Page Close Time,11:00:53
Parte 3,11:00:53
Pedagogical Page Open Time,11:00:53
Pedagogical Page Close Time,11:00:54
Multiplechoice Page Open Time,11:00:54
Checkbox Selected: Verdadero,11:00:58
Multiplechoice Page Close Time,11:00:59
Parte 4,11:00:59
Draganddrop Page Open Time,11:00:59
Correct Answer Selected: print(729),11:01:04
Draganddrop Page Close Time,11:01:05
Pedagogical Page Open Time,11:01:05
Pedagogical Page Close Time,11:01:06
Parte 5,11:01:06
Multiplechoice Page Open Time,11:01:06
Checkbox Selected: comillas '' ,11:01:12
Multiplechoice Page Close Time,11:01:13
Pedagogical Page Open Time,11:01:13
Pedagogical Page Close Time,11:01:14
Parte 6,11:01:14
Pedagogical Page Open Time,11:01:14
Pedagogical Page Close Time,11:01:15

"Modulo 2, Leccion 1",
Parte 1,11:01:29
Pedagogical Page Open Time,11:01:29
Pedagogical Page Close Time,11:01:32
Pedagogical2 Page Open Time,11:01:32
Pedagogical2 Page Close Time,11:01:33
Parte 2,11:01:33
Draganddrop Page Open Time,11:01:33
Draganddrop Page Close Time,11:01:37
Pedagogical Page Open Time,11:01:37
Correct Answer Selected: '42',11:01:37
Correct Answer Selected: text,11:01:37
Pedagogical Page Close Time,11:01:38
Parte 3,11:01:38
Multiplechoice Page Open Time,11:01:38
Multiplechoice Page Close Time,11:01:42
Pedagogical Page Open Time,11:01:42
Checkbox Selected: una cadena,11:01:42
Pedagogical Page Close Time,11:01:43
Parte 4,11:01:43
Multiplechoice Page Open Time,11:01:43
Multiplechoice Page Close Time,11:01:47
Pedagogical Page Open Time,11:01:47
Checkbox Selected: input(),11:01:47
Pedagogical Page Close Time,11:01:49
Parte 5,11:01:49
Pedagogical Page Open Time,11:01:49
Pedagogical Page Close Time,11:01:50
Pedagogical2 Page Open Time,11:01:50
Pedagogical2 Page Close Time,11:01:50

"Modulo 1, Leccion 1",
Parte 1,11:02:50
Pedagogical Page Open Time,11:02:50
Pedagogical Page Close Time,11:02:52
Multiplechoice Page Open Time,11:02:52
Checkbox Selected: Un lenguaje utilizado por los humanos para comunicarse con las maquinas.,11:02:55
Multiplechoice Page Close Time,11:02:56
Parte 2,11:02:56
Pedagogical Page Open Time,11:02:56
Pedagogical Page Close Time,11:02:56
Pedagogical2 Page Open Time,11:02:56
Pedagogical2 Page Close Time,11:02:57
Parte 3,11:02:57
Pedagogical Page Open Time,11:02:57
Pedagogical Page Close Time,11:02:57
Multiplechoice Page Open Time,11:02:57
Multiplechoice Page Close Time,11:03:00
Parte 4,11:03:00
Draganddrop Page Open Time,11:03:00
Checkbox Selected: Verdadero,11:03:00
Draganddrop Page Close Time,11:03:03
Pedagogical Page Open Time,11:03:03
Correct Answer Selected: print(729),11:03:03
Pedagogical Page Close Time,11:03:04
Parte 5,11:03:04
Multiplechoice Page Open Time,11:03:04
Multiplechoice Page Close Time,11:03:08
Pedagogical Page Open Time,11:03:08
Pedagogical Page Close Time,11:03:08
Parte 6,11:03:08
Pedagogical Page Open Time,11:03:08
Parte 5,11:03:08
Checkbox Selected: comillas '' ,11:03:08
Pedagogical Page Close Time,11:03:09

