"Modulo 1, Leccion 1",
Parte 4,09:21:32
Pedagogical Page Open Time,09:21:32
Pedagogical Page Close Time,09:21:33
Completeblankspace Page Open Time,09:21:33
Correct Answer Selected: 2028,09:21:37
Completeblankspace Page Close Time,09:21:38
Parte 5,09:21:38
Pedagogical Page Open Time,09:21:38
Pedagogical Page Close Time,09:21:39
Multiplechoice Page Open Time,09:21:39
Checkbox Selected: 24,09:21:48
Multiplechoice Page Close Time,09:21:49
Parte 6,09:21:49
Multiplechoice Page Open Time,09:21:49
Checkbox Selected: 12,09:21:53
Multiplechoice Page Close Time,09:21:54
Pedagogical Page Open Time,09:21:54
Pedagogical Page Close Time,09:21:55
Parte 7,09:21:55
Multiplechoice Page Open Time,09:21:55
Checkbox Selected: % de humedad ambiental,09:21:59
Checkbox Selected: % de humedad ambiental,09:22:00
Checkbox Selected: un_nombre_variable,09:22:03
Multiplechoice Page Close Time,09:22:04
Pedagogical Page Open Time,09:22:04
Pedagogical Page Close Time,09:22:05
Parte 8,09:22:05
Multiplechoice Page Open Time,09:22:05
Checkbox Selected: Balance: € 200,09:22:09
Multiplechoice Page Close Time,09:22:10
Pedagogical Page Open Time,09:22:10
Pedagogical Page Close Time,09:22:10
Parte 9,09:22:10
Pedagogical Page Open Time,09:22:10
Pedagogical Page Close Time,09:22:11
Pedagogical2 Page Open Time,09:22:11
Pedagogical2 Page Close Time,09:22:12

"Modulo 2, Leccion 1",
Parte 1,09:22:19
Pedagogical Page Open Time,09:22:19
Pedagogical Page Close Time,09:22:25
Pedagogical2 Page Open Time,09:22:25
Pedagogical2 Page Close Time,09:22:26
Parte 2,09:22:26
Draganddrop Page Open Time,09:22:26
Draganddrop Page Close Time,09:22:32
Pedagogical Page Open Time,09:22:32
Correct Answer Selected: '42',09:22:32
Correct Answer Selected: text,09:22:32
Pedagogical Page Close Time,09:22:33
Parte 3,09:22:33
Multiplechoice Page Open Time,09:22:33
Checkbox Selected: una cadena,09:22:40
Multiplechoice Page Close Time,09:22:41
Pedagogical Page Open Time,09:22:41
Pedagogical Page Close Time,09:22:42
Parte 4,09:22:42
Multiplechoice Page Open Time,09:22:42
Checkbox Selected: input(),09:22:45
Multiplechoice Page Close Time,09:22:46
Pedagogical Page Open Time,09:22:46
Pedagogical Page Close Time,09:22:46
Parte 5,09:22:46
Pedagogical Page Open Time,09:22:46
Pedagogical Page Close Time,09:22:47
Pedagogical2 Page Open Time,09:22:47
Pedagogical2 Page Close Time,09:22:47

