"Modulo 1, Leccion 1",
Draganddrop Page Close Time,18:50:56
Pedagogical Page Open Time,18:50:56
Correct Answer Selected: Entero:2,18:50:56
Correct Answer Selected: Flotante:3.14,18:50:56
Pedagogical Page Close Time,18:50:57
Parte 6,18:50:57
Pedagogical Page Open Time,18:50:57
Pedagogical Page Close Time,18:50:58
Pedagogical2 Page Open Time,18:50:58
Pedagogical2 Page Close Time,18:50:59
Parte 7,18:50:59
Pedagogical Page Open Time,18:50:59
Pedagogical Page Close Time,18:51:00

"Modulo 1, Leccion 3",
Parte 1,18:51:09
Pedagogical Page Open Time,18:51:09
Pedagogical Page Close Time,18:51:10
Pedagogical2 Page Open Time,18:51:10
Pedagogical2 Page Close Time,18:51:11
Parte 2,18:51:11
Multiplechoice Page Open Time,18:51:11
Multiplechoice Page Close Time,18:51:15
Pedagogical Page Open Time,18:51:15
Checkbox Selected: 'Viernes',18:51:15
Checkbox Selected: 'The Lord of the Rings',18:51:15
Pedagogical Page Close Time,18:51:16
Parte 3,18:51:16
Draganddrop Page Open Time,18:51:16
Draganddrop Page Close Time,18:51:24
Pedagogical Page Open Time,18:51:24
Correct Drop Event: Water,18:51:24
Correct Drop Event: +,18:51:24
Correct Drop Event: Park,18:51:24
Pedagogical Page Close Time,18:51:25
Parte 4,18:51:25
Multiplechoice Page Open Time,18:51:25
Checkbox Selected: '100',18:51:30
Checkbox Selected: 'Manzana',18:51:30
Multiplechoice Page Close Time,18:51:31
Draganddrop Page Open Time,18:51:31
Correct Answer Selected: 100,18:51:46
Correct Answer Selected: 100.00,18:51:46
Correct Answer Selected: 'cien',18:51:46
Draganddrop Page Close Time,18:51:47
Parte 5,18:51:47
Pedagogical Page Open Time,18:51:47
Pedagogical Page Close Time,18:51:48
Pedagogical2 Page Open Time,18:51:48
Pedagogical2 Page Close Time,18:51:48
Parte 6,18:51:48
Pedagogical Page Open Time,18:51:48
Pedagogical Page Close Time,18:51:49

"Modulo 1, Leccion 4",
Parte 1,18:51:57
Pedagogical Page Open Time,18:51:57
Pedagogical Page Close Time,18:51:59
Draganddrop Page Open Time,18:51:59
Correct Answer Selected: Entero,18:52:13
Correct Answer Selected: Flotante,18:52:13
Correct Answer Selected: Cadena,18:52:13
Draganddrop Page Close Time,18:52:14
Parte 2,18:52:14
Pedagogical Page Open Time,18:52:14
Pedagogical Page Close Time,18:52:15
Draganddrop Page Open Time,18:52:15
Correct Drop Event: print('Nosotros somos los campeones amigos'),18:52:26
Correct Drop Event: print('Y seguiremos luchando hasta el final'),18:52:26
Correct Drop Event: print('Somos los campeones'),18:52:26
Draganddrop Page Close Time,18:52:27
Parte 3,18:52:27
Pedagogical Page Open Time,18:52:27
Pedagogical Page Close Time,18:52:28
Completeblankspace Page Open Time,18:52:28
Correct Answer Selected: print,18:52:33
Completeblankspace Page Close Time,18:52:34
Parte 4,18:52:34
Pedagogical Page Open Time,18:52:34
Pedagogical Page Close Time,18:52:34
Draganddrop Page Open Time,18:52:34
Correct Answer Selected: sep,18:52:44
Correct Answer Selected: '-',18:52:44
Draganddrop Page Close Time,18:52:45
Parte 5,18:52:45
Pedagogical Page Open Time,18:52:45
Pedagogical Page Close Time,18:52:54
Draganddrop Page Open Time,18:52:54
"Incorrect Answer Selected: <Espacio para respuesta> Outputs a message 
print('Have a good day!')",18:52:58
Draganddrop Page Close Time,18:53:04
Parte 6,18:53:04
Pedagogical Page Open Time,18:53:04
"Correct Answer Selected: # Outputs a message 
print('Have a good day!')",18:53:04
Pedagogical Page Close Time,18:53:05
Pedagogical2 Page Open Time,18:53:05
Pedagogical2 Page Close Time,18:53:05
Parte 7,18:53:05
Pedagogical Page Open Time,18:53:05
Pedagogical Page Close Time,18:53:06
Pedagogical2 Page Open Time,18:53:06
Pedagogical2 Page Close Time,18:53:07

"Modulo 1, Leccion 5",
Parte 1,18:53:10
Pedagogical2 Page Open Time,18:53:10
Pedagogical2 Page Close Time,18:53:12
Parte 2,18:53:12
Pedagogical Page Open Time,18:53:12
Pedagogical Page Close Time,18:53:13
Pedagogical2 Page Open Time,18:53:13
Pedagogical2 Page Close Time,18:53:14
Parte 3,18:53:14
Multiplechoice Page Open Time,18:53:14
Checkbox Selected: valor.,18:53:17
Multiplechoice Page Close Time,18:53:18
Draganddrop Page Open Time,18:53:18
Correct Drop Event: edad,18:53:45
Correct Drop Event: 18,18:53:45
Draganddrop Page Close Time,18:53:46
Parte 4,18:53:46
Pedagogical Page Open Time,18:53:46
Pedagogical Page Close Time,18:53:47
Completeblankspace Page Open Time,18:53:47
Correct Answer Selected: 2028,18:53:51
Completeblankspace Page Close Time,18:53:52
Parte 5,18:53:52
Pedagogical Page Open Time,18:53:52
Pedagogical Page Close Time,18:53:53
Multiplechoice Page Open Time,18:53:53
Checkbox Selected: 24,18:53:58
Multiplechoice Page Close Time,18:53:59
Parte 6,18:53:59
Multiplechoice Page Open Time,18:53:59
Multiplechoice Page Close Time,18:54:05
Pedagogical Page Open Time,18:54:05
Checkbox Selected: 12,18:54:05
Pedagogical Page Close Time,18:54:06
Parte 7,18:54:06
Multiplechoice Page Open Time,18:54:06
Checkbox Selected: un_nombre_variable,18:54:11
Multiplechoice Page Close Time,18:54:12
Pedagogical Page Open Time,18:54:12
Pedagogical Page Close Time,18:54:13
Parte 8,18:54:13
Multiplechoice Page Open Time,18:54:13
Multiplechoice Page Close Time,18:54:17
Pedagogical Page Open Time,18:54:17
Checkbox Selected: Balance: € 200,18:54:17
Pedagogical Page Close Time,18:54:18
Parte 9,18:54:18
Pedagogical Page Open Time,18:54:18
Pedagogical Page Close Time,18:54:19
Pedagogical2 Page Open Time,18:54:19
Pedagogical2 Page Close Time,18:54:19

"Modulo 2, Leccion 1",
Parte 1,18:54:27
Pedagogical Page Open Time,18:54:27
Pedagogical Page Close Time,18:54:29
Pedagogical2 Page Open Time,18:54:29
Pedagogical2 Page Close Time,18:54:30
Parte 2,18:54:30
Draganddrop Page Open Time,18:54:30
Draganddrop Page Close Time,18:54:35
Pedagogical Page Open Time,18:54:35
Correct Answer Selected: '42',18:54:35
Correct Answer Selected: text,18:54:35
Pedagogical Page Close Time,18:54:37
Parte 3,18:54:37
Multiplechoice Page Open Time,18:54:37
Checkbox Selected: una cadena,18:54:42
Multiplechoice Page Close Time,18:54:43
Pedagogical Page Open Time,18:54:43
Pedagogical Page Close Time,18:54:44
Parte 4,18:54:44
Multiplechoice Page Open Time,18:54:44
Checkbox Selected: input(),18:54:49
Multiplechoice Page Close Time,18:54:55
Pedagogical Page Open Time,18:54:55
Pedagogical Page Close Time,18:54:57
Parte 5,18:54:57
Pedagogical Page Open Time,18:54:57
Pedagogical Page Close Time,18:55:01
Pedagogical2 Page Open Time,18:55:01
Pedagogical2 Page Close Time,18:55:03

